storageUtilizationPct,orders,realizedUnits,staffedHours,effectiveHours,uphBuilding,areaUnitsSortation,ophBuilding,buildingEffectiveHours,areaUnitsAsrs,targetOphBuilding,shifts,forecastUnits,staffedHeadcount,keyAssumptionVariance,areaUnitsPutaway,storagePallets,bulkShare,areaUnitsShipping,areaUnitsPacking,systemDowntimeHrs,nonconShare,buildingRealizedUnits,areaUnitsPicking,unitsPerVendorCarton,singlesShare,areaUnitsReceiving,buildingOrders,uphDept,ophDept,weekStart,department,buildingId
15.53,1759,4632.70,1944,1941.97,3.36,463.27,1.29,6482.71,850.31,520,3,5317.24,81.00,0.08,473.13,18636.19,0.42,324.29,824.03,2.03,0.12,21785.89,1188.08,11.89,0.43,509.60,8379,2.39,0.91,2025-02-03T00:00:00.000Z,Footwear,DAL_DC
20.24,1482,4769.63,1328,1325.88,3.73,476.96,1.32,5886.11,866.76,520,2,5017.59,83.00,0.20,481.90,24291.84,0.38,333.87,853.59,2.12,0.14,21945.68,1231.87,6.79,0.53,524.66,7789,3.60,1.12,2025-02-03T00:00:00.000Z,Footwear,LAX_DC
1.11,1655,3762.74,1488,1486.79,3.72,376.27,1.70,5880.62,683.25,520,3,4192.13,62.00,0.33,379.85,1337.67,0.38,263.39,673.72,1.21,0.12,21866.56,972.35,12.06,0.76,413.90,9997,2.53,1.11,2025-02-03T00:00:00.000Z,HomeGoods,ATL_DC
5.90,1302,4509.19,1584,1581.05,4.06,450.92,1.31,5693.47,796.48,520,3,4854.11,66.00,0.02,441.81,7076.19,0.28,315.64,820.76,2.95,0.05,23093.48,1187.56,12.51,0.61,496.01,7483,2.85,0.82,2025-02-03T00:00:00.000Z,HomeGoods,BOS_DC
10.71,1416,4708.10,1056,1053.31,4.81,470.81,1.56,4785.97,848.63,520,2,4706.50,66.00,0.00,471.51,12856.07,0.35,329.57,846.76,2.69,0.09,23000.27,1222.94,6.55,0.59,517.89,7456,4.47,1.34,2025-02-03T00:00:00.000Z,HomeGoods,CHI_DC
15.53,1460,4227.55,1584,1582.70,3.36,422.75,1.29,6482.71,743.09,520,3,4269.58,66.00,0.20,412.03,18636.19,0.27,295.93,771.68,1.30,0.16,21785.89,1117.03,11.50,0.66,465.03,8379,2.67,0.92,2025-02-03T00:00:00.000Z,HomeGoods,DAL_DC
20.24,2198,4876.21,912,908.65,3.73,487.62,1.32,5886.11,879.63,520,2,4754.65,57.00,0.02,488.77,24291.84,0.36,341.34,876.57,3.35,0.15,21945.68,1265.90,9.35,0.64,536.38,7789,5.37,2.42,2025-02-03T00:00:00.000Z,HomeGoods,LAX_DC
1.21,1452,3632.93,984,982.44,3.62,363.29,1.38,6434.59,655.06,520,3,3133.98,41.00,0.24,363.97,1454.44,0.36,254.31,653.25,1.56,0.10,23315.13,943.43,11.10,0.59,399.62,8897,3.70,1.48,2025-02-10T00:00:00.000Z,Accessories,ATL_DC
6.00,1312,3351.27,624,621.44,5.05,335.13,1.93,4885.31,588.72,520,2,3622.03,39.00,0.19,326.42,7199.79,0.26,234.59,611.94,2.56,0.14,24667.12,885.85,3.84,0.57,368.64,9405,5.39,2.11,2025-02-10T00:00:00.000Z,Accessories,BOS_DC
10.82,1140,2915.50,528,527.64,4.03,291.55,1.42,5979.31,511.77,520,2,2884.01,33.00,0.17,283.74,12982.00,0.26,204.08,532.60,0.36,0.17,24083.57,771.05,8.97,0.70,320.70,8512,5.53,2.16,2025-02-10T00:00:00.000Z,Accessories,CHI_DC
15.63,1349,2875.23,624,622.68,4.84,287.52,1.72,4601.49,499.86,520,2,3207.87,39.00,0.13,276.92,18752.27,0.23,201.27,528.15,1.32,0.17,22284.41,765.24,7.40,0.59,316.28,7932,4.62,2.17,2025-02-10T00:00:00.000Z,Accessories,DAL_DC
20.34,981,2854.71,840,837.15,3.62,285.47,1.35,6043.30,490.10,520,3,3161.78,35.00,0.13,271.22,24402.76,0.18,199.83,528.10,2.85,0.25,21862.50,765.98,7.25,0.58,314.02,8161,3.41,1.17,2025-02-10T00:00:00.000Z,Accessories,LAX_DC
1.21,2021,5717.51,1520,1518.32,3.62,571.75,1.38,6434.59,1084.67,520,2,6421.50,95.00,0.34,605.06,1454.44,0.54,400.23,995.84,1.68,0.23,23315.13,1431.04,9.26,0.62,628.93,8897,3.77,1.33,2025-02-10T00:00:00.000Z,Apparel,ATL_DC
6.00,2424,6079.89,1360,1358.75,5.05,607.99,1.93,4885.31,1149.32,520,2,6306.63,85.00,0.23,640.95,7199.79,0.53,425.59,1061.42,1.25,0.16,24667.12,1525.83,7.28,0.76,668.79,9405,4.47,1.78,2025-02-10T00:00:00.000Z,Apparel,BOS_DC
10.82,2701,7099.46,2064,2062.45,4.03,709.95,1.42,5979.31,1349.61,520,3,6285.54,86.00,0.02,752.97,12982.00,0.55,496.96,1234.88,1.55,0.26,24083.57,1774.15,11.60,0.55,780.94,8512,3.44,1.31,2025-02-10T00:00:00.000Z,Apparel,CHI_DC
15.63,2011,6521.43,1248,1247.23,4.84,652.14,1.72,4601.49,1204.42,520,2,6198.54,78.00,0.07,670.48,18752.27,0.44,456.50,1155.52,0.77,0.20,22284.41,1665.01,7.30,0.47,717.36,7932,5.23,1.61,2025-02-10T00:00:00.000Z,Apparel,DAL_DC
20.34,2150,6004.20,1312,1310.09,3.62,600.42,1.35,6043.30,1144.05,520,2,6516.78,82.00,0.17,638.39,24402.76,0.56,420.29,1042.78,1.91,0.13,21862.50,1497.80,12.74,0.57,660.46,8161,4.58,1.64,2025-02-10T00:00:00.000Z,Apparel,LAX_DC
1.21,1295,3282.87,1320,1319.77,3.62,328.29,1.38,6434.59,587.57,520,3,3552.47,55.00,0.11,326.28,1454.44,0.33,229.80,592.93,0.23,0.19,23315.13,856.90,11.54,0.55,361.12,8897,2.49,0.98,2025-02-10T00:00:00.000Z,Beauty,ATL_DC
6.00,1646,4097.15,832,829.13,5.05,409.71,1.93,4885.31,749.54,520,2,3987.12,52.00,0.32,416.95,7199.79,0.41,286.80,730.25,2.87,0.12,24667.12,1053.20,7.54,0.49,450.69,9405,4.94,1.99,2025-02-10T00:00:00.000Z,Beauty,BOS_DC
10.82,1532,4041.08,848,847.73,4.03,404.11,1.42,5979.31,706.82,520,2,4016.74,53.00,0.13,391.76,12982.00,0.25,282.88,739.74,0.27,0.17,24083.57,1071.26,11.53,0.55,444.52,8512,4.77,1.81,2025-02-10T00:00:00.000Z,Beauty,CHI_DC
15.63,1166,3285.85,672,671.37,4.84,328.59,1.72,4601.49,588.30,520,2,3722.07,42.00,0.34,326.69,18752.27,0.33,230.01,593.34,0.63,0.25,22284.41,857.47,11.74,0.62,361.44,7932,4.89,1.74,2025-02-10T00:00:00.000Z,Beauty,DAL_DC
20.34,1554,3637.14,784,783.74,3.62,363.71,1.35,6043.30,639.04,520,2,3938.25,49.00,0.10,354.33,24402.76,0.26,254.60,664.07,0.26,0.14,21862.50,961.31,8.29,0.70,400.09,8161,4.64,1.98,2025-02-10T00:00:00.000Z,Beauty,LAX_DC
1.21,2526,6030.07,1008,1006.28,3.62,603.01,1.38,6434.59,1119.11,520,2,5871.20,63.00,0.30,623.22,1454.44,0.46,422.10,1065.20,1.72,0.13,23315.13,1534.12,6.25,0.65,663.31,8897,5.99,2.51,2025-02-10T00:00:00.000Z,Footwear,ATL_DC
6.00,2529,6339.65,1168,1166.17,5.05,633.97,1.93,4885.31,1162.46,520,2,6129.89,73.00,0.24,646.76,7199.79,0.42,443.78,1128.35,1.83,0.20,24667.12,1626.99,6.77,0.63,697.36,9405,5.44,2.17,2025-02-10T00:00:00.000Z,Footwear,BOS_DC
10.82,1606,5409.03,1680,1678.88,4.03,540.90,1.42,5979.31,1020.17,520,3,5153.88,70.00,0.26,568.83,12982.00,0.52,378.63,945.70,1.12,0.18,24083.57,1359.80,9.42,0.62,594.99,8512,3.22,0.96,2025-02-10T00:00:00.000Z,Footwear,CHI_DC
15.63,2124,5197.76,1104,1101.93,4.84,519.78,1.72,4601.49,953.00,520,2,5361.40,69.00,0.12,530.22,18752.27,0.42,363.84,925.15,2.07,0.14,22284.41,1334.01,11.07,0.65,571.75,7932,4.72,1.93,2025-02-10T00:00:00.000Z,Footwear,DAL_DC
20.34,1741,5257.99,1536,1529.98,3.62,525.80,1.35,6043.30,956.71,520,3,5409.81,64.00,0.25,531.96,24402.76,0.39,368.06,940.28,6.02,0.10,21862.50,1356.81,9.95,0.65,578.38,8161,3.44,1.14,2025-02-10T00:00:00.000Z,Footwear,LAX_DC
1.21,1603,4651.75,1608,1607.78,3.62,465.18,1.38,6434.59,819.46,520,3,4661.44,67.00,0.25,454.46,1454.44,0.27,325.62,848.03,0.22,0.16,23315.13,1227.31,6.84,0.64,511.69,8897,2.89,1.00,2025-02-10T00:00:00.000Z,HomeGoods,ATL_DC
6.00,1494,4799.16,912,909.82,5.05,479.92,1.93,4885.31,848.31,520,2,4589.23,57.00,0.12,470.59,7199.79,0.29,335.94,873.17,2.18,0.16,24667.12,1263.32,11.16,0.63,527.91,9405,5.27,1.64,2025-02-10T00:00:00.000Z,HomeGoods,BOS_DC
10.82,1533,4618.50,864,862.61,4.03,461.85,1.42,5979.31,825.04,520,2,4405.50,54.00,0.07,458.08,12982.00,0.32,323.30,835.10,1.39,0.21,24083.57,1207.10,14.95,0.66,508.04,8512,5.35,1.78,2025-02-10T00:00:00.000Z,HomeGoods,CHI_DC
15.63,1282,4404.14,960,958.28,4.84,440.41,1.72,4601.49,792.85,520,2,4466.87,60.00,0.06,440.48,18752.27,0.35,308.29,792.68,1.72,0.16,22284.41,1144.97,10.47,0.61,484.46,7932,4.60,1.34,2025-02-10T00:00:00.000Z,HomeGoods,DAL_DC
20.34,1735,4108.46,1584,1582.34,3.62,410.85,1.35,6043.30,740.93,520,3,4358.89,66.00,0.22,411.69,24402.76,0.36,287.59,738.68,1.66,0.18,21862.50,1066.79,12.44,0.53,451.93,8161,2.60,1.10,2025-02-10T00:00:00.000Z,HomeGoods,LAX_DC
1.30,993,2922.90,648,647.74,3.48,292.29,1.35,6476.80,496.09,520,3,3095.27,27.00,0.07,274.27,1565.81,0.14,204.60,544.14,0.26,0.16,22514.95,789.99,7.04,0.60,321.52,8770,4.51,1.53,2025-02-17T00:00:00.000Z,Accessories,ATL_DC
6.10,1386,3193.33,656,655.75,3.98,319.33,1.42,5962.68,565.00,520,2,3462.11,41.00,0.04,313.46,7323.26,0.29,223.53,580.68,0.25,0.30,23749.98,840.06,10.10,0.71,351.27,8486,4.87,2.11,2025-02-17T00:00:00.000Z,Accessories,BOS_DC
10.91,1382,3793.03,704,703.17,4.33,379.30,1.87,5729.88,671.87,520,2,3685.45,44.00,0.13,372.78,13096.17,0.29,265.51,689.27,0.83,0.20,24797.00,997.06,7.03,0.67,417.23,10740,5.39,1.97,2025-02-17T00:00:00.000Z,Accessories,CHI_DC
15.73,1101,3665.02,528,526.19,5.61,366.50,2.01,4391.64,638.67,520,2,3344.75,33.00,0.23,353.88,18880.17,0.24,256.55,672.32,1.81,0.21,24647.26,973.94,8.56,0.73,403.15,8837,6.97,2.09,2025-02-17T00:00:00.000Z,Accessories,DAL_DC
20.43,1520,3621.98,656,655.19,4.86,362.20,2.11,4937.80,626.15,520,2,3468.97,41.00,0.31,346.72,24513.08,0.21,253.54,667.44,0.81,0.14,23978.82,967.52,8.14,0.64,398.42,10397,5.53,2.32,2025-02-17T00:00:00.000Z,Accessories,LAX_DC
1.30,2689,5748.19,2184,2183.59,3.48,574.82,1.35,6476.80,1088.25,520,3,6710.47,91.00,0.31,606.97,1565.81,0.54,402.37,1002.53,0.41,0.20,22514.95,1440.95,11.23,0.67,632.30,8770,2.63,1.23,2025-02-17T00:00:00.000Z,Apparel,ATL_DC
6.10,2080,7001.93,2040,2038.10,3.98,700.19,1.42,5962.68,1333.80,520,3,6694.72,85.00,0.04,744.27,7323.26,0.56,490.13,1216.27,1.90,0.20,23749.98,1747.05,11.09,0.63,770.21,8486,3.44,1.02,2025-02-17T00:00:00.000Z,Apparel,BOS_DC
10.91,3360,7614.93,1392,1390.36,4.33,761.49,1.87,5729.88,1421.10,520,2,6899.85,87.00,0.09,791.74,13096.17,0.48,533.05,1340.44,1.64,0.17,24797.00,1929.47,10.97,0.59,837.64,10740,5.48,2.42,2025-02-17T00:00:00.000Z,Apparel,CHI_DC
15.73,2061,6521.26,1232,1229.82,5.61,652.13,2.01,4391.64,1244.50,520,2,6568.71,77.00,0.01,694.53,18880.17,0.57,456.49,1131.42,2.18,0.22,24647.26,1624.86,7.56,0.52,717.34,8837,5.30,1.68,2025-02-17T00:00:00.000Z,Apparel,DAL_DC
20.43,2828,6588.94,1264,1261.50,4.86,658.89,2.11,4937.80,1263.59,520,2,6605.01,79.00,0.37,705.45,24513.08,0.59,461.23,1139.46,2.50,0.21,23978.82,1635.54,7.58,0.57,724.78,10397,5.22,2.24,2025-02-17T00:00:00.000Z,Apparel,LAX_DC
1.30,1319,3707.02,1392,1391.66,3.48,370.70,1.35,6476.80,642.99,520,3,3905.34,58.00,0.33,356.14,1565.81,0.22,259.49,681.83,0.34,0.21,22514.95,988.10,10.10,0.68,407.77,8770,2.66,0.95,2025-02-17T00:00:00.000Z,Beauty,ATL_DC
6.10,1043,3427.75,816,814.79,3.98,342.77,1.42,5962.68,603.92,520,2,3701.55,51.00,0.12,334.93,7323.26,0.27,239.94,624.84,1.21,0.10,23749.98,904.29,8.63,0.63,377.05,8486,4.21,1.28,2025-02-17T00:00:00.000Z,Beauty,BOS_DC
10.91,1179,3674.46,832,830.85,4.33,367.45,1.87,5729.88,662.96,520,2,4276.63,52.00,0.19,368.38,13096.17,0.36,257.21,660.47,1.15,0.12,24797.00,953.81,9.61,0.70,404.19,10740,4.42,1.42,2025-02-17T00:00:00.000Z,Beauty,CHI_DC
15.73,1740,3690.83,688,687.07,5.61,369.08,2.01,4391.64,652.20,520,2,3936.01,43.00,0.09,361.79,18880.17,0.28,258.36,671.64,0.93,0.18,24647.26,971.77,9.18,0.60,405.99,8837,5.37,2.53,2025-02-17T00:00:00.000Z,Beauty,DAL_DC
20.43,1933,3871.30,832,831.03,4.86,387.13,2.11,4937.80,681.14,520,2,4001.35,52.00,0.05,377.71,24513.08,0.27,270.99,706.25,0.97,0.17,23978.82,1022.23,10.56,0.59,425.84,10397,4.66,2.33,2025-02-17T00:00:00.000Z,Beauty,LAX_DC
1.30,2408,5719.65,1184,1182.19,3.48,571.96,1.35,6476.80,1072.18,520,2,5651.03,74.00,0.32,597.55,1565.81,0.50,400.38,1003.95,1.81,0.19,22514.95,1444.47,9.53,0.66,629.16,8770,4.84,2.04,2025-02-17T00:00:00.000Z,Footwear,ATL_DC
6.10,1827,5427.60,1512,1511.57,3.98,542.76,1.42,5962.68,1018.86,520,3,5493.72,63.00,0.09,567.90,7323.26,0.50,379.93,951.83,0.43,0.22,23749.98,1369.28,12.74,0.56,597.04,8486,3.59,1.21,2025-02-17T00:00:00.000Z,Footwear,BOS_DC
10.91,2718,5473.78,1752,1751.49,4.33,547.38,1.87,5729.88,984.38,520,3,5542.31,73.00,0.14,546.84,13096.17,0.35,383.16,985.82,0.51,0.22,24797.00,1424.09,9.73,0.61,602.12,10740,3.13,1.55,2025-02-17T00:00:00.000Z,Footwear,CHI_DC
15.73,1848,5955.71,1024,1022.74,5.61,595.57,2.01,4391.64,1095.78,520,2,5950.75,64.00,0.28,609.82,18880.17,0.43,416.90,1057.77,1.26,0.23,24647.26,1524.73,13.54,0.51,655.13,8837,5.82,1.81,2025-02-17T00:00:00.000Z,Footwear,DAL_DC
20.43,2778,5626.28,1184,1183.50,4.86,562.63,2.11,4937.80,1066.17,520,2,5582.80,74.00,0.14,594.69,24513.08,0.54,393.84,980.67,0.50,0.20,23978.82,1409.39,10.84,0.63,618.89,10397,4.75,2.35,2025-02-17T00:00:00.000Z,Footwear,LAX_DC
1.30,1361,4417.19,1072,1071.62,3.48,441.72,1.35,6476.80,801.73,520,2,4662.34,67.00,0.07,445.70,1565.81,0.38,309.20,791.11,0.38,0.19,22514.95,1141.83,12.76,0.58,485.89,8770,4.12,1.27,2025-02-17T00:00:00.000Z,HomeGoods,ATL_DC
6.10,2150,4699.37,944,942.47,3.98,469.94,1.42,5962.68,854.10,520,2,4781.63,59.00,0.13,474.87,7323.26,0.38,328.96,840.96,1.53,0.19,23749.98,1213.62,12.16,0.57,516.93,8486,4.99,2.28,2025-02-17T00:00:00.000Z,HomeGoods,BOS_DC
10.91,2101,4240.80,1056,1054.01,4.33,424.08,1.87,5729.88,764.63,520,2,4750.95,66.00,0.09,424.85,13096.17,0.36,296.86,762.57,1.99,0.31,24797.00,1101.32,7.54,0.54,466.49,10740,4.02,1.99,2025-02-17T00:00:00.000Z,HomeGoods,CHI_DC
15.73,2087,4814.44,928,925.82,5.61,481.44,2.01,4391.64,861.86,520,2,5080.70,58.00,0.20,478.60,18880.17,0.33,337.01,869.44,2.18,0.22,24647.26,1256.49,12.52,0.53,529.59,8837,5.20,2.25,2025-02-17T00:00:00.000Z,HomeGoods,DAL_DC
20.43,1338,4270.32,1008,1006.58,4.86,427.03,2.11,4937.80,761.22,520,2,4776.37,63.00,0.15,422.57,24513.08,0.32,298.92,773.12,1.42,0.19,23978.82,1117.72,12.19,0.65,469.74,10397,4.24,1.33,2025-02-17T00:00:00.000Z,HomeGoods,LAX_DC
1.40,990,2987.99,768,766.00,3.75,298.80,1.46,5920.55,519.68,520,2,3159.42,48.00,0.27,287.90,1676.04,0.23,209.16,548.73,2.00,0.23,22222.67,795.04,10.89,0.65,328.68,8616,3.90,1.29,2025-02-24T00:00:00.000Z,Accessories,ATL_DC
6.20,967,3297.27,1152,1150.91,3.81,329.73,1.53,6252.61,588.36,520,3,3299.16,48.00,0.24,326.64,7438.76,0.32,230.81,596.60,1.09,0.22,23821.00,862.43,7.47,0.68,362.70,9575,2.86,0.84,2025-02-24T00:00:00.000Z,Accessories,BOS_DC
11.01,960,3210.23,608,606.13,3.94,321.02,1.58,5866.22,554.88,520,2,3216.61,38.00,0.18,307.25,13208.29,0.21,224.72,591.62,1.87,0.13,23122.85,857.62,7.62,0.60,353.13,9294,5.30,1.58,2025-02-24T00:00:00.000Z,Accessories,CHI_DC
15.84,1221,3262.21,736,735.54,4.53,326.22,1.46,5343.55,559.35,520,2,3138.69,46.00,0.29,309.51,19012.67,0.18,228.36,603.91,0.46,0.19,24228.49,876.03,13.36,0.67,358.84,7822,4.44,1.66,2025-02-24T00:00:00.000Z,Accessories,DAL_DC
20.53,1282,3432.80,640,637.92,4.49,343.28,1.79,5742.12,591.58,520,2,3608.23,40.00,0.23,327.48,24638.78,0.20,240.30,633.70,2.08,0.13,25774.14,918.85,11.53,0.64,377.61,10266,5.38,2.01,2025-02-24T00:00:00.000Z,Accessories,LAX_DC
1.40,2369,6104.37,2040,2037.38,3.75,610.44,1.46,5920.55,1155.91,520,3,6244.42,85.00,0.37,644.71,1676.04,0.54,427.31,1064.51,2.62,0.30,22222.67,1530.01,12.57,0.57,671.48,8616,3.00,1.16,2025-02-24T00:00:00.000Z,Apparel,ATL_DC
6.20,2751,6215.74,1072,1071.57,3.81,621.57,1.53,6252.61,1206.10,520,2,7120.61,67.00,0.09,673.93,7438.76,0.63,435.10,1066.47,0.43,0.20,23821.00,1528.82,5.09,0.50,683.73,9575,5.80,2.57,2025-02-24T00:00:00.000Z,Apparel,BOS_DC
11.01,2638,6274.61,1280,1278.45,3.94,627.46,1.58,5866.22,1191.34,520,2,6160.21,80.00,0.05,664.61,13208.29,0.55,439.22,1092.28,1.55,0.26,23122.85,1569.49,6.48,0.74,690.21,9294,4.91,2.06,2025-02-24T00:00:00.000Z,Apparel,CHI_DC
15.84,2226,7394.52,1328,1327.73,4.53,739.45,1.46,5343.55,1411.65,520,2,6811.07,83.00,0.17,787.83,19012.67,0.57,517.62,1282.63,0.27,0.19,24228.49,1841.94,8.04,0.47,813.40,7822,5.57,1.68,2025-02-24T00:00:00.000Z,Apparel,DAL_DC
20.53,3268,7195.58,1456,1451.99,4.49,719.56,1.79,5742.12,1390.08,520,2,6790.11,91.00,0.09,776.48,24638.78,0.61,503.69,1238.28,4.01,0.25,25774.14,1775.97,12.13,0.64,791.51,10266,4.96,2.25,2025-02-24T00:00:00.000Z,Apparel,LAX_DC
1.40,1365,3263.62,1104,1102.76,3.75,326.36,1.46,5920.55,574.23,520,3,3658.83,46.00,0.48,318.43,1676.04,0.27,228.45,595.39,1.24,0.19,22222.67,861.77,12.61,0.62,359.00,8616,2.96,1.24,2025-02-24T00:00:00.000Z,Beauty,ATL_DC
6.20,1520,3726.45,1344,1341.22,3.81,372.65,1.53,6252.61,673.13,520,3,3978.40,56.00,0.12,374.06,7438.76,0.36,260.85,669.34,2.78,0.10,23821.00,966.51,8.52,0.49,409.91,9575,2.78,1.13,2025-02-24T00:00:00.000Z,Beauty,BOS_DC
11.01,1812,3969.17,1344,1343.27,3.94,396.92,1.58,5866.22,717.25,520,3,4084.38,56.00,0.39,398.60,13208.29,0.36,277.84,712.77,0.73,0.12,23122.85,1029.18,15.63,0.53,436.61,9294,2.95,1.35,2025-02-24T00:00:00.000Z,Beauty,CHI_DC
15.84,1372,3867.43,752,749.31,4.53,386.74,1.46,5343.55,676.67,520,2,3787.84,47.00,0.29,375.06,19012.67,0.25,270.72,707.82,2.69,0.14,24228.49,1025.00,10.13,0.41,425.42,7822,5.16,1.83,2025-02-24T00:00:00.000Z,Beauty,DAL_DC
20.53,1635,4221.24,912,911.13,4.49,422.12,1.79,5742.12,772.08,520,2,4213.47,57.00,0.07,429.48,24638.78,0.41,295.49,752.47,0.87,0.09,25774.14,1085.26,4.55,0.66,464.34,10266,4.63,1.79,2025-02-24T00:00:00.000Z,Beauty,LAX_DC
1.40,2208,5000.77,1184,1183.23,3.75,500.08,1.46,5920.55,946.45,520,2,5076.01,74.00,0.11,527.87,1676.04,0.54,350.05,872.35,0.77,0.15,22222.67,1253.89,11.04,0.55,550.09,8616,4.23,1.87,2025-02-24T00:00:00.000Z,Footwear,ATL_DC
6.20,2346,5828.80,1704,1701.26,3.81,582.88,1.53,6252.61,1090.93,520,3,5572.35,71.00,0.27,607.93,7438.76,0.49,408.02,1024.13,2.74,0.20,23821.00,1473.74,13.25,0.61,641.17,9575,3.43,1.38,2025-02-24T00:00:00.000Z,Footwear,BOS_DC
11.01,1847,5092.47,1152,1151.37,3.94,509.25,1.58,5866.22,931.30,520,2,5458.89,72.00,0.18,518.04,13208.29,0.41,356.47,907.85,0.63,0.15,23122.85,1309.39,7.52,0.56,560.17,9294,4.42,1.60,2025-02-24T00:00:00.000Z,Footwear,CHI_DC
15.84,1409,4742.53,1120,1117.91,4.53,474.25,1.46,5343.55,885.66,520,2,5739.68,70.00,0.11,493.45,19012.67,0.48,331.98,834.46,2.09,0.24,24228.49,1201.06,12.63,0.60,521.68,7822,4.24,1.26,2025-02-24T00:00:00.000Z,Footwear,DAL_DC
20.53,2383,6146.15,1752,1750.75,4.49,614.62,1.79,5742.12,1138.80,520,3,5991.53,73.00,0.06,634.11,24638.78,0.46,430.23,1086.81,1.25,0.18,25774.14,1565.51,10.53,0.62,676.08,10266,3.51,1.36,2025-02-24T00:00:00.000Z,Footwear,LAX_DC
1.40,1684,4865.92,832,831.18,3.75,486.59,1.46,5920.55,870.21,520,2,4894.28,52.00,0.19,483.20,1676.04,0.33,340.61,879.26,0.82,0.21,22222.67,1270.80,8.13,0.71,535.25,8616,5.85,2.03,2025-02-24T00:00:00.000Z,HomeGoods,ATL_DC
6.20,1991,4752.74,992,987.65,3.81,475.27,1.53,6252.61,864.82,520,2,5299.27,62.00,0.30,480.87,7438.76,0.39,332.69,849.90,4.35,0.10,23821.00,1226.39,7.31,0.79,522.80,9575,4.81,2.02,2025-02-24T00:00:00.000Z,HomeGoods,BOS_DC
11.01,2037,4576.37,1488,1487.00,3.94,457.64,1.58,5866.22,827.69,520,3,4373.96,62.00,0.02,460.01,13208.29,0.37,320.35,821.38,1.00,0.15,23122.85,1185.91,10.86,0.56,503.40,9294,3.08,1.37,2025-02-24T00:00:00.000Z,HomeGoods,CHI_DC
15.84,1594,4961.80,1416,1413.06,4.53,496.18,1.46,5343.55,917.97,520,3,4864.52,59.00,0.34,511.09,19012.67,0.45,347.33,878.22,2.94,0.13,24228.49,1265.22,9.29,0.75,545.80,7822,3.51,1.13,2025-02-24T00:00:00.000Z,HomeGoods,DAL_DC
20.53,1698,4778.37,992,990.33,4.49,477.84,1.79,5742.12,849.99,520,2,4906.97,62.00,0.19,471.77,24638.78,0.31,334.49,866.18,1.67,0.14,25774.14,1252.49,8.41,0.67,525.62,10266,4.83,1.71,2025-02-24T00:00:00.000Z,HomeGoods,LAX_DC
1.50,1039,3074.99,736,733.51,4.86,307.50,1.73,5126.09,536.22,520,2,3163.64,46.00,0.31,297.13,1805.76,0.24,215.25,563.87,2.49,0.12,24922.18,816.78,9.82,0.74,338.25,8884,4.19,1.42,2025-03-03T00:00:00.000Z,Accessories,ATL_DC
6.30,1237,3504.61,848,847.17,3.52,350.46,1.25,6540.33,598.05,520,2,3285.98,53.00,0.32,330.79,7558.87,0.16,245.32,650.50,0.83,0.23,23016.00,943.98,7.47,0.60,385.51,8166,4.14,1.46,2025-03-03T00:00:00.000Z,Accessories,BOS_DC
11.12,1012,3265.52,1344,1343.26,4.12,326.55,1.38,6255.43,588.21,520,3,3305.81,56.00,0.10,326.80,13346.97,0.35,228.59,587.54,0.74,0.11,25793.70,848.62,9.39,0.72,359.21,8632,2.43,0.75,2025-03-03T00:00:00.000Z,Accessories,CHI_DC
15.95,1251,3495.24,912,911.64,4.57,349.52,1.70,5571.10,612.61,520,2,3631.25,57.00,0.12,339.61,19141.85,0.26,244.67,639.06,0.36,0.28,25445.05,925.29,6.28,0.56,384.48,9488,3.83,1.37,2025-03-03T00:00:00.000Z,Accessories,DAL_DC
20.64,1308,3193.67,888,885.59,4.97,319.37,1.68,5056.89,553.11,520,3,3448.79,37.00,0.21,306.32,24773.39,0.21,223.56,587.91,2.41,0.25,25141.23,852.11,6.76,0.63,351.30,8485,3.61,1.48,2025-03-03T00:00:00.000Z,Accessories,LAX_DC
1.50,2348,7348.15,1488,1486.92,4.86,734.82,1.73,5126.09,1377.77,520,2,6994.27,93.00,0.33,767.88,1805.76,0.50,514.37,1289.60,1.08,0.20,24922.18,1855.41,10.06,0.59,808.30,8884,4.94,1.58,2025-03-03T00:00:00.000Z,Apparel,ATL_DC
6.30,1926,5960.09,1424,1423.83,3.52,596.01,1.25,6540.33,1153.26,520,2,6113.04,89.00,0.08,644.27,7558.87,0.62,417.21,1024.55,0.17,0.16,23016.00,1469.18,6.01,0.56,655.61,8166,4.19,1.35,2025-03-03T00:00:00.000Z,Apparel,BOS_DC
11.12,1891,6596.78,1776,1774.91,4.12,659.68,1.38,6255.43,1276.16,520,3,6796.85,74.00,0.30,712.92,13346.97,0.62,461.77,1134.18,1.09,0.16,25793.70,1626.43,9.06,0.52,725.65,8632,3.72,1.07,2025-03-03T00:00:00.000Z,Apparel,CHI_DC
15.95,2708,6803.81,1312,1311.28,4.57,680.38,1.70,5571.10,1259.14,520,2,6755.30,82.00,0.28,701.05,19141.85,0.45,476.27,1204.02,0.72,0.26,25445.05,1734.54,9.81,0.71,748.42,9488,5.19,2.07,2025-03-03T00:00:00.000Z,Apparel,DAL_DC
20.64,1986,6777.52,1248,1247.29,4.97,677.75,1.68,5056.89,1290.73,520,2,6711.65,78.00,0.39,720.22,24773.39,0.56,474.43,1177.49,0.71,0.22,25141.23,1691.38,13.78,0.61,745.53,8485,5.43,1.59,2025-03-03T00:00:00.000Z,Apparel,LAX_DC
